operation,latency_ms,timestamp
read,47.977,2026-01-28T23:35:03.508213+05:30
read,56.182,2026-01-28T23:35:03.508214+05:30
read,23.928,2026-01-28T23:35:03.508214+05:30
read,49.010,2026-01-28T23:35:03.508214+05:30
read,64.657,2026-01-28T23:35:03.508214+05:30
read,64.610,2026-01-28T23:35:03.508214+05:30
read,64.604,2026-01-28T23:35:03.508215+05:30
read,48.977,2026-01-28T23:35:03.508215+05:30
read,7.988,2026-01-28T23:35:03.508215+05:30
read,23.978,2026-01-28T23:35:03.508215+05:30
read,7.979,2026-01-28T23:35:03.508216+05:30
read,8.022,2026-01-28T23:35:03.508216+05:30
read,8.023,2026-01-28T23:35:03.508216+05:30
read,16.015,2026-01-28T23:35:03.508216+05:30
read,18.464,2026-01-28T23:35:03.508217+05:30
read,34.528,2026-01-28T23:35:03.508217+05:30
read,10.292,2026-01-28T23:35:03.508217+05:30
read,18.197,2026-01-28T23:35:03.508217+05:30
read,0.366,2026-01-28T23:35:03.508218+05:30
read,0.390,2026-01-28T23:35:03.508218+05:30
read,0.387,2026-01-28T23:35:03.508218+05:30
read,10.797,2026-01-28T23:35:03.508218+05:30
read,16.132,2026-01-28T23:35:03.508218+05:30
read,15.679,2026-01-28T23:35:03.508219+05:30
read,15.691,2026-01-28T23:35:03.508219+05:30
read,64.000,2026-01-28T23:35:03.508219+05:30
read,72.115,2026-01-28T23:35:03.508219+05:30
read,63.821,2026-01-28T23:35:03.50822+05:30
read,39.959,2026-01-28T23:35:03.50822+05:30
read,48.072,2026-01-28T23:35:03.50822+05:30
read,40.316,2026-01-28T23:35:03.50822+05:30
read,55.932,2026-01-28T23:35:03.508221+05:30
read,32.089,2026-01-28T23:35:03.508221+05:30
read,47.986,2026-01-28T23:35:03.508221+05:30
read,32.342,2026-01-28T23:35:03.508221+05:30
read,33.133,2026-01-28T23:35:03.508222+05:30
read,16.937,2026-01-28T23:35:03.508222+05:30
read,64.047,2026-01-28T23:35:03.508222+05:30
read,32.020,2026-01-28T23:35:03.508222+05:30
read,24.122,2026-01-28T23:35:03.508222+05:30
read,40.075,2026-01-28T23:35:03.508223+05:30
read,56.009,2026-01-28T23:35:03.508223+05:30
read,31.924,2026-01-28T23:35:03.508223+05:30
read,40.179,2026-01-28T23:35:03.508223+05:30
read,16.232,2026-01-28T23:35:03.508224+05:30
read,40.114,2026-01-28T23:35:03.508224+05:30
read,32.196,2026-01-28T23:35:03.508224+05:30
read,48.067,2026-01-28T23:35:03.508224+05:30
read,48.157,2026-01-28T23:35:03.508225+05:30
read,57.973,2026-01-28T23:35:03.508225+05:30
read,31.705,2026-01-28T23:35:03.508225+05:30
read,15.879,2026-01-28T23:35:03.508225+05:30
read,15.881,2026-01-28T23:35:03.508225+05:30
read,23.756,2026-01-28T23:35:03.508226+05:30
read,38.268,2026-01-28T23:35:03.508226+05:30
read,14.856,2026-01-28T23:35:03.508226+05:30
read,34.828,2026-01-28T23:35:03.508226+05:30
read,54.009,2026-01-28T23:35:03.508227+05:30
read,40.476,2026-01-28T23:35:03.508227+05:30
read,48.221,2026-01-28T23:35:03.508227+05:30
read,48.269,2026-01-28T23:35:03.508227+05:30
read,48.518,2026-01-28T23:35:03.508227+05:30
read,48.099,2026-01-28T23:35:03.508228+05:30
read,58.046,2026-01-28T23:35:03.508228+05:30
read,41.967,2026-01-28T23:35:03.508228+05:30
read,26.238,2026-01-28T23:35:03.508228+05:30
read,8.211,2026-01-28T23:35:03.508229+05:30
read,8.349,2026-01-28T23:35:03.508229+05:30
read,0.418,2026-01-28T23:35:03.508232+05:30
read,13.889,2026-01-28T23:35:03.508233+05:30
read,26.816,2026-01-28T23:35:03.508233+05:30
read,43.940,2026-01-28T23:35:03.508233+05:30
read,47.100,2026-01-28T23:35:03.508233+05:30
read,56.006,2026-01-28T23:35:03.508233+05:30
read,32.057,2026-01-28T23:35:03.508234+05:30
read,39.925,2026-01-28T23:35:03.508234+05:30
read,47.991,2026-01-28T23:35:03.508234+05:30
read,48.042,2026-01-28T23:35:03.508234+05:30
read,31.982,2026-01-28T23:35:03.508235+05:30
read,31.999,2026-01-28T23:35:03.508235+05:30
read,16.008,2026-01-28T23:35:03.508235+05:30
read,47.985,2026-01-28T23:35:03.508235+05:30
read,30.915,2026-01-28T23:35:03.508235+05:30
read,30.949,2026-01-28T23:35:03.508236+05:30
read,14.932,2026-01-28T23:35:03.508236+05:30
read,31.056,2026-01-28T23:35:03.508236+05:30
read,32.298,2026-01-28T23:35:03.508236+05:30
read,32.363,2026-01-28T23:35:03.508237+05:30
read,17.559,2026-01-28T23:35:03.508237+05:30
read,17.420,2026-01-28T23:35:03.508237+05:30
read,0.305,2026-01-28T23:35:03.508237+05:30
read,47.535,2026-01-28T23:35:03.508238+05:30
read,25.184,2026-01-28T23:35:03.508238+05:30
read,72.566,2026-01-28T23:35:03.508238+05:30
read,25.204,2026-01-28T23:35:03.508238+05:30
read,41.162,2026-01-28T23:35:03.508239+05:30
read,25.322,2026-01-28T23:35:03.508239+05:30
read,15.890,2026-01-28T23:35:03.508239+05:30
read,15.921,2026-01-28T23:35:03.508239+05:30
read,31.909,2026-01-28T23:35:03.508239+05:30
read,31.790,2026-01-28T23:35:03.50824+05:30
read,32.091,2026-01-28T23:35:03.50824+05:30
read,23.844,2026-01-28T23:35:03.50824+05:30
read,23.899,2026-01-28T23:35:03.50824+05:30
read,7.995,2026-01-28T23:35:03.508241+05:30
read,34.013,2026-01-28T23:35:03.508241+05:30
read,52.554,2026-01-28T23:35:03.508241+05:30
read,71.555,2026-01-28T23:35:03.508241+05:30
read,71.705,2026-01-28T23:35:03.508242+05:30
read,60.956,2026-01-28T23:35:03.508242+05:30
read,114.871,2026-01-28T23:35:03.508242+05:30
read,115.013,2026-01-28T23:35:03.508242+05:30
read,70.945,2026-01-28T23:35:03.508243+05:30
read,53.799,2026-01-28T23:35:03.508243+05:30
read,53.841,2026-01-28T23:35:03.508243+05:30
read,53.866,2026-01-28T23:35:03.508243+05:30
read,0.090,2026-01-28T23:35:03.508244+05:30
read,0.095,2026-01-28T23:35:03.508244+05:30
read,16.137,2026-01-28T23:35:03.508244+05:30
read,0.138,2026-01-28T23:35:03.508244+05:30
read,0.087,2026-01-28T23:35:03.508245+05:30
read,7.857,2026-01-28T23:35:03.508245+05:30
read,39.886,2026-01-28T23:35:03.508245+05:30
read,71.950,2026-01-28T23:35:03.508246+05:30
read,72.084,2026-01-28T23:35:03.508246+05:30
read,72.089,2026-01-28T23:35:03.508246+05:30
read,16.014,2026-01-28T23:35:03.508246+05:30
read,16.105,2026-01-28T23:35:03.508246+05:30
read,31.777,2026-01-28T23:35:03.508247+05:30
read,48.149,2026-01-28T23:35:03.508247+05:30
read,48.301,2026-01-28T23:35:03.508247+05:30
read,41.955,2026-01-28T23:35:03.508247+05:30
read,33.864,2026-01-28T23:35:03.508248+05:30
read,33.886,2026-01-28T23:35:03.508248+05:30
read,33.904,2026-01-28T23:35:03.508248+05:30
read,0.072,2026-01-28T23:35:03.508248+05:30
read,0.138,2026-01-28T23:35:03.508249+05:30
read,33.988,2026-01-28T23:35:03.508249+05:30
read,33.852,2026-01-28T23:35:03.508249+05:30
read,0.457,2026-01-28T23:35:03.508249+05:30
read,15.955,2026-01-28T23:35:03.508249+05:30
read,15.886,2026-01-28T23:35:03.50825+05:30
read,47.938,2026-01-28T23:35:03.50825+05:30
read,67.966,2026-01-28T23:35:03.50825+05:30
read,68.161,2026-01-28T23:35:03.50825+05:30
read,16.014,2026-01-28T23:35:03.508251+05:30
read,31.828,2026-01-28T23:35:03.508251+05:30
read,31.947,2026-01-28T23:35:03.508251+05:30
read,47.944,2026-01-28T23:35:03.508251+05:30
read,32.147,2026-01-28T23:35:03.508252+05:30
read,32.021,2026-01-28T23:35:03.508252+05:30
read,41.996,2026-01-28T23:35:03.508252+05:30
read,42.004,2026-01-28T23:35:03.508252+05:30
read,26.226,2026-01-28T23:35:03.508253+05:30
read,34.100,2026-01-28T23:35:03.508253+05:30
read,16.008,2026-01-28T23:35:03.508253+05:30
read,16.056,2026-01-28T23:35:03.508253+05:30
read,16.233,2026-01-28T23:35:03.508253+05:30
